demo_id,year,event,series_date
flyquest-vs-virtus-pro-m1-inferno-p2,,(off-list),""
g2-vs-ninjas-in-pyjamas-m2-inferno,2024,BLAST Premier Fall Final 2024,""
liquid-vs-natus-vincere-m3-inferno,2024,BLAST Premier Fall Final 2024,""
natus-vincere-vs-liquid-m3-inferno,2024,BLAST Premier Fall Final 2024,""
g2-vs-natus-vincere-m2-inferno,2024,BLAST Premier Spring Final 2024,""
natus-vincere-vs-g2-m1-inferno,2024,BLAST Premier Spring Final 2024,""
b8-vs-flyquest-m3-inferno,2025,IEM Cologne 2025,""
flyquest-vs-furia-m1-inferno,2025,IEM Cologne 2025,""
g2-vs-furia-m2-inferno,2025,IEM Cologne 2025,""
eternal-fire-vs-natus-vincere-m2-inferno,2024,PGL Major Copenhagen 2024,""
eternal-fire-vs-virtus-pro-m3-inferno,2024,PGL Major Copenhagen 2024,""
rare-atom-vs-fnatic-m2-inferno,2024,Perfect World Shanghai Major 2024,""
3dmax-vs-fnatic-inferno,2025,StarLadder Budapest Major 2025,""
flyquest-vs-3dmax-inferno,2025,StarLadder Budapest Major 2025,""
fnatic-vs-passion-ua-m2-inferno,2025,StarLadder Budapest Major 2025,""
vitality-vs-og-m2-inferno,2024,BLAST Premier Spring Final 2024,2024/1/22
virtus-pro-vs-cloud9-m3-inferno,2024,BLAST Premier Spring Final 2024,2024/1/25
gamerlegion-vs-faze-m3-inferno,2024,BLAST Premier Spring Final 2024,2024/1/26
astralis-vs-vitality-m1-inferno,2024,BLAST Premier Spring Final 2024,2024/1/27
blast-premier-world-final-2024-g2-vs-liquid__g2-vs-liquid-m2-inferno,2024,BLAST Premier World Final 2024,2024/10/30
mouz-vs-faze-m1-inferno,2024,BLAST Premier World Final 2024,2024/10/30
natus-vincere-vs-faze-m1-inferno,2024,BLAST Premier World Final 2024,2024/10/31
g2-vs-vitality-m2-inferno,2024,BLAST Premier World Final 2024,2024/11/2
liquid-vs-wildcard-inferno,2024,Perfect World Shanghai Major 2024,2024/11/30
complexity-vs-imperial-m1-inferno,2024,Perfect World Shanghai Major 2024,2024/12/1
liquid-vs-flyquest-m1-inferno,2024,Perfect World Shanghai Major 2024,2024/12/1
flyquest-vs-pain-m2-inferno,2024,Perfect World Shanghai Major 2024,2024/12/2
gamerlegion-vs-passion-ua-m1-inferno,2024,Perfect World Shanghai Major 2024,2024/12/2
perfect-world-shanghai-major-2024-opening-stage-wildcard-vs-virtuspro__wildcard-vs-virtus-pro-m2-inferno,2024,Perfect World Shanghai Major 2024,2024/12/2
rare-atom-vs-mibr-m1-inferno,2024,Perfect World Shanghai Major 2024,2024/12/2
mibr-vs-flyquest-m2-inferno,2024,Perfect World Shanghai Major 2024,2024/12/3
wildcard-vs-passion-ua-m1-inferno,2024,Perfect World Shanghai Major 2024,2024/12/3
g2-vs-the-mongolz-inferno,2024,Perfect World Shanghai Major 2024,2024/12/5
liquid-vs-gamerlegion-inferno,2024,Perfect World Shanghai Major 2024,2024/12/5
natus-vincere-vs-mibr-inferno,2024,Perfect World Shanghai Major 2024,2024/12/5
furia-vs-liquid-inferno,2024,Perfect World Shanghai Major 2024,2024/12/6
mouz-vs-faze-inferno,2024,Perfect World Shanghai Major 2024,2024/12/6
big-vs-faze-m1-inferno,2024,Perfect World Shanghai Major 2024,2024/12/7
perfect-world-shanghai-major-2024-furia-vs-pain__furia-vs-pain-m3-inferno,2024,Perfect World Shanghai Major 2024,2024/12/7
faze-vs-furia-m1-inferno,2024,Perfect World Shanghai Major 2024,2024/12/8
big-vs-apeks-m1-inferno,2024,IEM Katowice 2024,2024/2/2
eternal-fire-vs-faze-m1-inferno,2024,IEM Katowice 2024,2024/2/4
faze-vs-g2-m1-inferno,2024,IEM Katowice 2024,2024/2/9
themongolz-vs-amkal-m3-inferno,2024,PGL Major Copenhagen 2024,2024/3/18
ecstatic-vs-imperial-m2-inferno,2024,PGL Major Copenhagen 2024,2024/3/19
eternal-fire-vs-gamerlegion-m2-inferno,2024,PGL Major Copenhagen 2024,2024/3/19
legacy-vs-apeks-m2-inferno,2024,PGL Major Copenhagen 2024,2024/3/19
g2-vs-furia-inferno,2024,PGL Major Copenhagen 2024,2024/3/21
virtus-pro-vs-imperial-inferno,2024,PGL Major Copenhagen 2024,2024/3/21
virtuspro-vs-pain-inferno,2024,PGL Major Copenhagen 2024,2024/3/21
vitality-vs-eternal-fire-inferno,2024,PGL Major Copenhagen 2024,2024/3/21
ecstatic-vs-furia-m2-inferno,2024,PGL Major Copenhagen 2024,2024/3/22
pain-vs-themongolz-m3-inferno,2024,PGL Major Copenhagen 2024,2024/3/22
complexity-vs-vitality-m1-inferno,2024,PGL Major Copenhagen 2024,2024/3/23
ecstatic-vs-g2-m1-inferno,2024,PGL Major Copenhagen 2024,2024/3/23
virtus-pro-vs-g2-m2-inferno,2024,PGL Major Copenhagen 2024,2024/3/24
cloud9-vs-vitality-m1-inferno,2024,PGL Major Copenhagen 2024,2024/3/28
mouz-vs-g2-m1-inferno,2024,PGL Major Copenhagen 2024,2024/3/29
pgl-cs2-major-copenhagen-2024-vitality-vs-faze__vitality-vs-faze-m3-inferno,2024,PGL Major Copenhagen 2024,2024/3/30
pgl-cs2-major-copenhagen-2024-faze-vs-natus-vincere__faze-vs-natus-vincere-m3-inferno,2024,PGL Major Copenhagen 2024,2024/3/31
flyquest-vs-nemiga-m2-inferno,2024,IEM Chengdu 2024,2024/4/10
iem-chengdu-2024-liquid-vs-mouz__liquid-vs-mouz-m1-inferno,2024,IEM Chengdu 2024,2024/4/10
astralis-vs-faze-m3-inferno,2024,IEM Chengdu 2024,2024/4/13
faze-vs-nemiga-inferno,2024,IEM Chengdu 2024,2024/4/8
g2-vs-liquid-m3-inferno,2024,IEM Chengdu 2024,2024/4/8
wildcard-vs-virtus-pro-inferno,2024,IEM Chengdu 2024,2024/4/8
iem-chengdu-2024-g2-vs-lynn-vision__g2-vs-lynn-vision-m2-inferno,2024,IEM Chengdu 2024,2024/4/9
g2-vs-mouz-m1-inferno,2024,IEM Dallas 2024,2024/5/28
iem-dallas-2024-g2-vs-liquid__g2-vs-liquid-m2-inferno,2024,IEM Dallas 2024,2024/5/29
virtus-pro-vs-big-m1-inferno,2024,IEM Dallas 2024,2024/5/29
9z-vs-g2-m1-inferno,2024,IEM Dallas 2024,2024/6/1
ex-guild-eagles-vs-sinners-m1-inferno,2024,ESL Pro League Season 20,2024/6/11
faze-vs-saw-m2-inferno,2024,BLAST Premier Spring Final 2024,2024/6/12
vitality-vs-virtuspro-m1-inferno,2024,BLAST Premier Spring Final 2024,2024/6/12
blast-premier-spring-final-2024-saw-vs-astralis__saw-vs-astralis-m2-inferno,2024,BLAST Premier Spring Final 2024,2024/6/13
vitality-vs-g2-m1-inferno,2024,BLAST Premier Spring Final 2024,2024/6/13
astralis-vs-virtus-pro-m1-inferno,2024,BLAST Premier Spring Final 2024,2024/6/14
blast-premier-spring-final-2024-faze-vs-vitality__faze-vs-vitality-m1-inferno,2024,BLAST Premier Spring Final 2024,2024/6/14
iem-dallas-2024-g2-vs-vitality__g2-vs-vitality-m1-inferno,2024,IEM Dallas 2024,2024/6/2
aurora-vs-sinners-inferno,2024,ESL Pro League Season 20,2024/6/9
faze-vs-cloud9-m2-inferno,2024,BLAST Premier Fall Final 2024,2024/7/31
astralis-vs-9z-m2-inferno,2024,IEM Cologne 2024,2024/8/10
g2-vs-saw-m2-inferno,2024,IEM Cologne 2024,2024/8/10
iem-cologne-2024-faze-vs-vitality__faze-vs-vitality-m1-inferno,2024,IEM Cologne 2024,2024/8/12
liquid-vs-faze-m1-inferno,2024,IEM Cologne 2024,2024/8/13
natus-vincere-vs-saw-m3-inferno,2024,IEM Cologne 2024,2024/8/13
saw-vs-faze-m1-inferno,2024,IEM Cologne 2024,2024/8/16
natus-vincere-vs-mouz-m1-inferno,2024,IEM Cologne 2024,2024/8/17
vitality-vs-natus-vincere-m4-inferno,2024,IEM Cologne 2024,2024/8/18
faze-vs-ninjas-in-pyjamas-m2-inferno,2024,BLAST Premier Fall Final 2024,2024/8/2
astralis-vs-ninjas-in-pyjamas-m2-inferno,2024,BLAST Premier Fall Final 2024,2024/8/4
furia-vs-imperial-m3-inferno,2024,IEM Cologne 2024,2024/8/7
pain-vs-liquid-m2-inferno,2024,IEM Cologne 2024,2024/8/7
saw-vs-big-m3-inferno,2024,IEM Cologne 2024,2024/8/8
g2-vs-faze-m2-inferno,2024,BLAST Premier Fall Final 2024,2024/9/25
vitality-vs-astralis-m1-inferno,2024,BLAST Premier Fall Final 2024,2024/9/25
faze-vs-liquid-m1-inferno,2024,BLAST Premier Fall Final 2024,2024/9/27
g2-vs-natus-vincere-m4-inferno,2024,BLAST Premier Fall Final 2024,2024/9/29
3dmax-vs-flyquest-m2-inferno,2025,IEM Katowice 2025,2025/1/29
iem-katowice-2025-play-in-saw-vs-gamerlegion__saw-vs-gamerlegion-m2-inferno,2025,IEM Katowice 2025,2025/1/29
iem-katowice-2025-play-in-wildcard-vs-big__wildcard-vs-big-m2-inferno,2025,IEM Katowice 2025,2025/1/29
3dmax-vs-mibr-m1-inferno,2025,IEM Katowice 2025,2025/1/30
virtus-pro-vs-saw-m2-inferno,2025,IEM Katowice 2025,2025/1/30
complexity-vs-liquid-m1-inferno,2025,IEM Katowice 2025,2025/1/31
liquid-vs-wildcard-m1-inferno,2025,IEM Katowice 2025,2025/1/31
pain-vs-astralis-m1-inferno,2025,IEM Katowice 2025,2025/1/31
wildcard-vs-furia-m1-inferno,2025,IEM Katowice 2025,2025/1/31
faze-vs-ninjas-in-pyjamas-m1-inferno,2025,StarLadder Budapest Major 2025,2025/11/30
mibr-vs-liquid-m1-inferno,2025,StarLadder Budapest Major 2025,2025/11/30
liquid-vs-tyloo-m3-inferno,2025,StarLadder Budapest Major 2025,2025/12/1
furia-vs-natus-vincere-m2-inferno,2025,StarLadder Budapest Major 2025,2025/12/12
mouz-vs-faze-m2-inferno,2025,StarLadder Budapest Major 2025,2025/12/12
starladder-budapest-major-2025-faze-vs-natus-vincere__faze-vs-natus-vincere-m3-inferno,2025,StarLadder Budapest Major 2025,2025/12/13
starladder-budapest-major-2025-vitality-vs-faze__vitality-vs-faze-m3-inferno,2025,StarLadder Budapest Major 2025,2025/12/14
passion-ua-vs-m80-m2-inferno,2025,StarLadder Budapest Major 2025,2025/12/2
liquid-vs-the-mongolz-inferno,2025,StarLadder Budapest Major 2025,2025/12/4
furia-vs-g2-m1-inferno,2025,StarLadder Budapest Major 2025,2025/12/5
parivision-vs-3dmax-m2-inferno,2025,StarLadder Budapest Major 2025,2025/12/5
vitality-vs-b8-inferno,2025,StarLadder Budapest Major 2025,2025/12/5
3dmax-vs-faze-m2-inferno,2025,StarLadder Budapest Major 2025,2025/12/6
mouz-vs-falcons-m2-inferno,2025,StarLadder Budapest Major 2025,2025/12/6
natus-vincere-vs-vitality-m1-inferno,2025,StarLadder Budapest Major 2025,2025/12/6
passion-ua-vs-imperial-m1-inferno,2025,StarLadder Budapest Major 2025,2025/12/6
g2-vs-falcons-m2-inferno,2025,StarLadder Budapest Major 2025,2025/12/7
g2-vs-virtus-pro-m1-inferno,2025,IEM Katowice 2025,2025/2/1
iem-katowice-2025-falcons-vs-eternal-fire__falcons-vs-eternal-fire-m1-inferno,2025,IEM Katowice 2025,2025/2/1
mouz-vs-gamerlegion-m1-inferno,2025,IEM Katowice 2025,2025/2/1
vitality-vs-3dmax-m1-inferno,2025,IEM Katowice 2025,2025/2/1
3dmax-vs-virtus-pro-m2-inferno,2025,PGL Cluj-Napoca 2025,2025/2/14
astralis-vs-pain-m1-inferno,2025,PGL Cluj-Napoca 2025,2025/2/14
falcons-vs-flyquest-m1-inferno,2025,PGL Cluj-Napoca 2025,2025/2/14
big-vs-flyquest-m1-inferno,2025,PGL Cluj-Napoca 2025,2025/2/15
complexity-vs-virtus-pro-m2-inferno,2025,PGL Cluj-Napoca 2025,2025/2/15
faze-vs-eternal-fire-m3-inferno,2025,PGL Cluj-Napoca 2025,2025/2/15
mouz-vs-3dmax-m1-inferno,2025,PGL Cluj-Napoca 2025,2025/2/15
pgl-cluj-napoca-2025-saw-vs-astralis__saw-vs-astralis-m2-inferno,2025,PGL Cluj-Napoca 2025,2025/2/15
the-mongolz-vs-wildcard-m1-inferno,2025,PGL Cluj-Napoca 2025,2025/2/15
3dmax-vs-mibr-m2-inferno,2025,PGL Cluj-Napoca 2025,2025/2/16
eternal-fire-vs-big-m2-inferno,2025,PGL Cluj-Napoca 2025,2025/2/16
pain-vs-the-mongolz-m1-inferno,2025,PGL Cluj-Napoca 2025,2025/2/16
pgl-cluj-napoca-2025-wildcard-vs-virtuspro__wildcard-vs-virtus-pro-m2-inferno,2025,PGL Cluj-Napoca 2025,2025/2/16
saw-vs-flyquest-m1-inferno,2025,PGL Cluj-Napoca 2025,2025/2/16
3dmax-vs-eternal-fire-m2-inferno,2025,PGL Cluj-Napoca 2025,2025/2/17
astralis-vs-mibr-m2-inferno,2025,PGL Cluj-Napoca 2025,2025/2/17
complexity-vs-saw-m2-inferno,2025,PGL Cluj-Napoca 2025,2025/2/17
pain-vs-virtus-pro-m1-inferno,2025,PGL Cluj-Napoca 2025,2025/2/17
pgl-cluj-napoca-2025-wildcard-vs-big__wildcard-vs-big-m2-inferno,2025,PGL Cluj-Napoca 2025,2025/2/17
astralis-vs-big-m2-inferno,2025,PGL Cluj-Napoca 2025,2025/2/18
mouz-vs-virtus-pro-m2-inferno,2025,PGL Cluj-Napoca 2025,2025/2/18
3dmax-vs-big-m2-inferno,2025,IEM Katowice 2025,2025/2/2
pain-vs-mouz-m1-inferno,2025,PGL Cluj-Napoca 2025,2025/2/21
the-mongolz-vs-astralis-m2-inferno,2025,PGL Cluj-Napoca 2025,2025/2/21
mouz-vs-astralis-m1-inferno,2025,PGL Cluj-Napoca 2025,2025/2/22
astralis-vs-faze-m2-inferno,2025,PGL Cluj-Napoca 2025,2025/2/23
iem-katowice-2025-eternal-fire-vs-3dmax__eternal-fire-vs-3dmax-m1-inferno,2025,IEM Katowice 2025,2025/2/3
virtus-pro-vs-vitality-m2-inferno,2025,IEM Katowice 2025,2025/2/4
esl-pro-league-season-21-saw-vs-gamerlegion__saw-vs-gamerlegion-m2-inferno,2025,ESL Pro League Season 21,2025/3/10
eternal-fire-vs-pain-m2-inferno,2025,ESL Pro League Season 21,2025/3/10
esl-pro-league-season-21-falcons-vs-eternal-fire__falcons-vs-eternal-fire-m1-inferno,2025,ESL Pro League Season 21,2025/3/11
g2-vs-gamerlegion-m1-inferno,2025,ESL Pro League Season 21,2025/3/11
liquid-vs-3dmax-m1-inferno,2025,ESL Pro League Season 21,2025/3/11
esl-pro-league-season-21-eternal-fire-vs-3dmax__eternal-fire-vs-3dmax-m1-inferno,2025,ESL Pro League Season 21,2025/3/7
falcons-vs-liquid-m1-inferno,2025,ESL Pro League Season 21,2025/3/7
g2-vs-pain-m2-inferno,2025,ESL Pro League Season 21,2025/3/7
mouz-vs-furia-m2-inferno,2025,ESL Pro League Season 21,2025/3/7
natus-vincere-vs-saw-m1-inferno,2025,ESL Pro League Season 21,2025/3/7
vitality-vs-mibr-m2-inferno,2025,ESL Pro League Season 21,2025/3/7
eternal-fire-vs-mibr-m2-inferno,2025,ESL Pro League Season 21,2025/3/8
gamerlegion-vs-pain-m2-inferno,2025,ESL Pro League Season 21,2025/3/8
natus-vincere-vs-tyloo-m1-inferno,2025,ESL Pro League Season 21,2025/3/8
falcons-vs-3dmax-m1-inferno,2025,ESL Pro League Season 21,2025/3/9
furia-vs-mibr-m3-inferno,2025,ESL Pro League Season 21,2025/3/9
gamerlegion-vs-tyloo-m2-inferno,2025,ESL Pro League Season 21,2025/3/9
liquid-vs-eternal-fire-m1-inferno,2025,ESL Pro League Season 21,2025/3/9
vitality-vs-mouz-m1-inferno,2025,ESL Pro League Season 21,2025/3/9
iem-dallas-2025-g2-vs-lynn-vision__g2-vs-lynn-vision-m2-inferno,2025,IEM Dallas 2025,2025/5/19
liquid-vs-faze-m2-inferno,2025,IEM Dallas 2025,2025/5/19
3dmax-vs-legacy-m1-inferno,2025,IEM Dallas 2025,2025/5/20
g2-vs-the-mongolz-m1-inferno,2025,IEM Dallas 2025,2025/5/20
iem-dallas-2025-liquid-vs-mouz__liquid-vs-mouz-m1-inferno,2025,IEM Dallas 2025,2025/5/20
nrg-vs-aurora-m1-inferno,2025,IEM Dallas 2025,2025/5/20
3dmax-vs-g2-m1-inferno,2025,IEM Dallas 2025,2025/5/21
liquid-vs-aurora-m1-inferno,2025,IEM Dallas 2025,2025/5/21
vitality-vs-the-mongolz-m1-inferno,2025,IEM Dallas 2025,2025/5/21
falcons-vs-gamerlegion-m3-inferno,2025,IEM Dallas 2025,2025/5/23
mouz-vs-the-mongolz-m1-inferno,2025,IEM Dallas 2025,2025/5/24
vitality-vs-falcons-m3-inferno,2025,IEM Dallas 2025,2025/5/24
mouz-vs-vitality-m3-inferno,2025,IEM Dallas 2025,2025/5/25
3dmax-vs-natus-vincere-inferno,2025,BLAST Austin Major 2025,2025/6/12
the-mongolz-vs-furia-inferno,2025,BLAST Austin Major 2025,2025/6/12
vitality-vs-legacy-inferno,2025,BLAST Austin Major 2025,2025/6/12
aurora-vs-g2-inferno,2025,BLAST Austin Major 2025,2025/6/13
3dmax-vs-pain-m1-inferno,2025,BLAST Austin Major 2025,2025/6/14
aurora-vs-mouz-m2-inferno,2025,BLAST Austin Major 2025,2025/6/14
legacy-vs-lynn-vision-m2-inferno,2025,BLAST Austin Major 2025,2025/6/14
natus-vincere-vs-g2-m3-inferno,2025,BLAST Austin Major 2025,2025/6/14
legacy-vs-mouz-m2-inferno,2025,BLAST Austin Major 2025,2025/6/15
virtus-pro-vs-pain-m2-inferno,2025,BLAST Austin Major 2025,2025/6/15
blasttv-austin-major-2025-furia-vs-pain__furia-vs-pain-m3-inferno,2025,BLAST Austin Major 2025,2025/6/19
mouz-vs-vitality-m2-inferno,2025,BLAST Austin Major 2025,2025/6/21
vitality-vs-the-mongolz-m3-inferno,2025,BLAST Austin Major 2025,2025/6/22
3dmax-vs-legacy-inferno,2025,BLAST Austin Major 2025,2025/6/7
virtus-pro-vs-b8-inferno,2025,BLAST Austin Major 2025,2025/6/7
virtus-pro-vs-og-inferno,2025,BLAST Austin Major 2025,2025/6/7
falcons-vs-mibr-m3-inferno,2025,BLAST Austin Major 2025,2025/6/9
faze-vs-3dmax-m2-inferno,2025,BLAST Austin Major 2025,2025/6/9
astralis-vs-b8-m2-inferno,2025,IEM Cologne 2025,2025/7/23
faze-vs-big-m1-inferno,2025,IEM Cologne 2025,2025/7/23
gamerlegion-vs-complexity-m1-inferno,2025,IEM Cologne 2025,2025/7/23
tyloo-vs-virtuspro-m1-inferno,2025,IEM Cologne 2025,2025/7/23
complexity-vs-tyloo-m2-inferno,2025,IEM Cologne 2025,2025/7/24
3dmax-vs-tyloo-m1-inferno,2025,IEM Cologne 2025,2025/7/25
astralis-vs-pain-m3-inferno,2025,IEM Cologne 2025,2025/7/25
furia-vs-astralis-m1-inferno,2025,IEM Cologne 2025,2025/7/27
iem-cologne-2025-g2-vs-vitality__g2-vs-vitality-m1-inferno,2025,IEM Cologne 2025,2025/7/27
3dmax-vs-g2-m2-inferno,2025,IEM Cologne 2025,2025/7/28
faze-vs-natus-vincere-m2-inferno,2025,IEM Cologne 2025,2025/7/29
ninjas-in-pyjamas-vs-natus-vincere-m2-inferno,2025,IEM Cologne 2025,2025/7/29
the-mongolz-vs-vitality-m2-inferno,2025,IEM Cologne 2025,2025/7/29
mouz-vs-furia-m3-inferno,2025,IEM Cologne 2025,2025/8/1
