hltv_name,year,rating_ct,rating_t,adr,kast,firepower_ct,firepower_t,entrying_ct,entrying_t,trading_ct,trading_t,opening_ct,opening_t,sniping,utility,found,steamid,clutching
frozen,2025,1.19,1.15,81.0,75.0,79,72,45,34,61,73,55,40,0,63,yes,76561198068422762,75
JBa,2025,1.12,1.14,76.5,75.0,65,74,49,64,55,81,32,36,0,40,yes,76561198184153575,62
SOMEBODY,2024,0.98,1.08,75.9,70.3,53,75,38,54,39,24,41,57,4,57,yes,76561198045397601,66
FL4MUS,2024,1.07,1.15,80.4,71.4,75,81,63,48,48,36,79,81,0,45,yes,76561198014259134,42
sl3nd,2024,1.1,1.1,76.1,75.1,73,60,29,25,55,51,64,33,92,75,yes,76561198098071693,75
Wicadia,2025,1.11,1.15,80.7,71.8,85,81,52,69,32,52,70,49,4,31,yes,76561198812513923,51
max,2024,1.01,0.99,74.6,70.9,58,35,46,58,29,17,66,78,0,67,yes,76561198242950384,30
dumau,2025,1.13,1.09,80.5,73.9,83,66,48,44,39,47,79,83,0,74,yes,76561198194325317,36
yuurih,2025,1.03,1.12,75.5,76.2,41,63,38,49,50,80,27,28,0,64,yes,76561198164970560,41
nexa,2024,1.0,0.98,68.0,72.1,32,31,48,52,61,73,15,15,0,56,yes,76561197999825422,50
npl,2025,1.13,1.14,80.4,74.2,85,70,78,66,73,75,70,49,0,42,yes,76561198305036904,56
n1ssim,2025,1.0,1.05,69.4,72.7,28,39,25,26,20,42,42,25,1,39,yes,76561198061763596,56
saffee,2025,0.98,0.9,65.7,69.2,40,18,37,24,43,51,70,26,90,58,yes,76561197985565685,73
Cxzi,2025,0.99,1.09,78.2,71.8,59,69,39,67,23,35,67,73,0,68,yes,76561198171719689,30
Techno4K,2024,1.05,1.08,73.0,72.3,45,57,40,55,22,32,29,62,0,38,yes,76561198966340160,53
Staehr,2024,1.05,1.05,73.6,72.4,47,44,30,45,30,41,33,80,0,78,yes,76561198005107817,35
saffee,2024,1.02,1.02,69.0,72.4,50,33,38,40,49,66,63,30,77,62,yes,76561197985565685,65
ropz,2025,1.14,1.18,78.6,76.2,81,72,29,13,43,65,63,44,3,22,yes,76561197991272318,65
siuhy,2025,0.89,0.87,64.2,67.3,16,10,48,69,41,32,42,58,0,79,yes,76561198150673360,29
r1nkle,2024,1.05,1.04,72.4,71.3,67,53,24,23,55,65,86,51,93,53,yes,76561198294381090,72
Stewie2K,2024,0.9,0.78,64.0,68.3,33,4,79,85,12,43,62,69,15,68,yes,76561197999004010,30
volt,2024,0.99,1.01,68.7,72.6,29,35,60,58,69,77,25,26,0,49,yes,76561198155754447,41
Lucaozy,2024,1.1,1.12,82.1,73.9,81,80,48,30,58,36,71,76,0,45,yes,76561198157388473,34
jackasmo,2025,0.97,1.02,71.5,70.9,43,43,46,48,51,59,21,25,0,79,yes,76561198446445284,41
r1nkle,2025,1.13,1.14,78.9,74.3,83,78,14,26,51,84,87,49,85,52,yes,76561198294381090,63
jabbi,2025,1.06,1.02,71.5,71.3,58,41,47,51,50,34,54,42,0,47,yes,76561198120557348,42
felps,2024,1.1,1.06,81.5,71.3,85,70,58,47,36,21,83,82,1,43,yes,76561197983031494,36
NAF,2025,1.01,1.02,73.5,72.7,41,40,45,25,35,58,27,17,1,60,yes,76561198001151695,64
NertZ,2025,1.03,1.07,77.1,70.0,64,59,46,38,35,49,71,77,0,61,yes,76561198053126645,43
Jimpphat,2025,1.02,1.07,70.9,75.4,32,46,61,38,43,75,27,15,0,28,yes,76561198855375325,59
phzy,2025,1.13,1.17,77.0,73.9,81,67,28,27,46,58,77,36,88,68,yes,76561198408199043,84
F1KU,2025,1.09,1.11,76.1,74.1,65,64,65,79,41,58,50,50,0,65,yes,76561198252434500,55
fEAR,2024,1.01,1.04,73.9,74.0,48,50,60,53,59,52,47,44,0,77,yes,76561198132026180,63
latto,2025,1.17,1.19,79.1,76.2,72,77,44,45,51,65,40,34,0,75,yes,76561198850020186,51
SHOCK--,2024,1.05,1.13,73.4,71.7,42,61,22,36,17,41,42,40,3,44,yes,76561198169560297,68
decenty,2024,1.09,1.11,77.0,73.6,69,74,39,15,67,64,41,37,2,18,yes,76561198307171910,54
Starry,2024,1.17,1.11,82.0,74.7,82,84,70,42,69,74,76,72,1,70,yes,76561198880299543,62
Qikert,2025,1.01,1.03,70.1,73.3,41,31,71,64,62,48,55,51,0,76,yes,76561198127236290,45
susp,2025,1.08,1.07,78.2,71.6,71,56,47,82,38,64,84,78,0,35,yes,76561198342718168,31
malbsMd,2025,1.02,1.1,78.1,71.0,67,63,49,85,30,56,84,86,0,59,yes,76561198080703143,33
regali,2024,1.16,1.13,75.3,75.9,79,74,30,29,76,84,73,26,92,53,yes,76561198098463229,73
MATYS,2025,1.12,1.18,80.1,73.3,81,79,77,70,59,60,55,70,0,49,yes,76561199046478501,34
jL,2024,1.11,1.16,78.5,73.9,64,78,45,57,59,53,50,70,0,47,yes,76561198176878303,64
nqz,2024,1.16,1.08,71.8,75.4,70,40,27,17,51,77,70,29,92,58,yes,76561198350342505,65
ewjerkz,2024,1.11,1.2,80.8,73.6,65,80,65,75,36,47,67,87,0,63,yes,76561198262460262,32
KRiMZ,2025,1.02,1.01,69.0,73.4,29,27,47,29,51,59,33,30,0,63,yes,76561198031651584,55
Jeorge,2025,1.12,1.17,79.6,74.9,66,78,57,76,44,62,46,55,0,70,yes,76561198353869335,58
Mercury,2025,1.06,1.03,75.2,73.9,68,43,74,64,62,61,59,33,0,64,yes,76561198108796479,46
FalleN,2024,1.02,0.96,65.3,70.2,50,21,43,39,23,52,85,24,92,61,yes,76561197960690195,56
HeavyGoD,2025,1.1,1.2,77.0,76.0,54,74,45,47,37,73,34,37,0,55,yes,76561198068002993,70
rain,2024,1.04,1.05,75.3,71.4,50,52,52,62,31,45,55,75,0,53,yes,76561197997351207,42
drop,2025,1.07,1.05,76.0,75.4,62,45,67,80,60,61,51,31,0,67,yes,76561198388056582,48
Moseyuh,2025,1.1,1.11,77.3,75.1,72,60,67,70,61,58,50,57,0,31,yes,76561198355197522,52
rigoN,2024,0.99,1.02,75.8,69.9,57,67,55,75,47,44,41,77,3,25,yes,76561198172837021,38
Norwi-,2024,1.03,1.01,70.3,72.8,42,37,64,54,54,41,30,50,1,52,yes,76561198154904607,45
KSCERATO,2025,1.19,1.21,82.0,76.4,81,76,39,36,60,43,38,62,0,85,yes,76561198058500492,64
xertioN,2024,1.13,1.11,81.7,72.2,81,72,59,57,53,22,70,83,0,62,yes,76561198193174134,41
iM,2025,1.11,1.07,78.5,73.7,82,50,75,45,71,41,69,58,0,44,yes,76561198050250233,43
Queenix,2024,1.03,0.99,68.2,71.5,32,30,55,44,45,48,26,32,0,70,yes,76561198030545997,65
riskyb0b,2024,1.01,1.06,75.0,74.1,43,57,75,74,71,50,48,54,2,61,yes,76561198889240025,37
drop,2024,0.98,1.06,70.6,74.1,27,49,53,86,46,41,39,64,0,40,yes,76561198388056582,54
w0nderful,2025,1.08,1.14,71.7,73.5,59,56,29,17,50,78,70,33,91,54,yes,76561199063068840,76
hades,2025,1.05,1.1,73.5,72.0,72,65,23,17,33,48,82,37,92,56,yes,76561198050922008,81
acoR,2024,1.05,1.04,71.1,71.6,66,43,34,27,56,64,67,37,92,71,yes,76561198002942763,61
Tauson,2025,1.02,1.04,72.4,72.7,41,51,44,42,34,73,49,49,0,37,yes,76561198316706174,70
FalleN,2025,0.96,0.92,62.6,70.7,24,11,55,58,33,41,34,28,23,72,yes,76561197960690195,43
910,2024,1.06,1.08,71.3,72.5,65,52,16,31,41,54,73,45,92,34,yes,76561199203563345,64
cadiaN,2025,0.87,0.84,64.1,69.3,15,8,48,43,31,29,55,30,14,92,yes,76561198004115516,42
YEKINDAR,2025,1.06,1.12,80.5,72.3,77,58,57,39,27,12,89,88,0,67,yes,76561198134401925,36
electroNic,2024,1.05,1.04,78.4,73.1,70,63,82,58,67,58,57,53,0,69,yes,76561198044045107,27
Chr1zN,2025,1.04,1.03,75.0,70.3,61,40,55,51,36,24,65,63,0,82,yes,76561198292598811,49
SLIGHT,2024,1.0,0.94,68.2,69.7,50,30,37,22,40,45,81,41,92,68,yes,76561198153580037,77
Magisk,2025,0.96,1.0,69.4,72.2,31,29,30,42,45,63,35,30,1,62,yes,76561197983956651,46
story,2025,1.06,1.12,73.3,72.2,64,54,41,24,32,47,92,35,92,68,yes,76561198065448360,61
TRAVIS,2024,1.07,1.1,74.4,71.6,52,57,32,49,49,63,35,48,0,60,yes,76561198362970723,67
EliGE,2025,1.06,1.14,80.4,71.6,70,78,40,48,60,58,76,81,0,65,yes,76561198066693739,32
Attacker,2025,0.93,0.92,66.7,73.1,19,23,74,92,47,61,39,47,0,27,yes,76561198048266764,35
try,2025,1.28,1.2,82.1,76.0,97,75,21,12,44,50,94,66,93,59,yes,76561198365118288,76
SunPayus,2025,1.14,1.04,70.7,74.8,68,28,19,44,44,53,68,37,92,60,yes,76561198309839541,75
Lucky,2025,1.04,1.01,73.5,72.9,47,39,60,58,77,65,26,34,1,67,yes,76561198031890115,51
dumau,2024,1.16,1.21,84.6,74.9,85,92,37,36,46,58,71,87,0,74,yes,76561198194325317,54
malbsMd,2024,1.18,1.25,85.2,74.3,89,92,79,70,53,42,89,92,0,50,yes,76561198080703143,39
1eeR,2024,1.0,1.0,72.5,72.5,40,37,84,64,62,47,51,38,0,79,yes,76561198837117408,51
Wicadia,2024,1.08,1.06,76.5,72.4,69,68,42,67,38,66,58,68,1,33,yes,76561198812513923,38
jks,2025,1.06,0.95,70.5,73.3,60,21,37,40,50,42,49,25,0,72,yes,76561197977105184,46
mantuu,2024,1.06,1.06,72.4,73.7,62,55,32,23,67,83,60,30,91,64,yes,76561198016432560,73
device,2024,1.09,1.03,73.9,72.1,72,43,21,15,19,39,79,32,90,75,yes,76561197987713664,62
motm,2024,1.01,1.06,74.5,72.2,46,63,57,69,60,57,60,68,0,57,yes,76561198020474058,41
mir,2024,0.95,0.9,66.5,71.9,39,17,88,38,78,51,31,36,0,67,yes,76561198000827804,50
Techno4K,2025,0.95,1.0,68.8,69.6,25,35,37,58,18,40,34,45,0,48,yes,76561198966340160,56
insani,2025,1.11,1.16,82.8,71.8,85,76,48,73,73,37,73,88,0,49,yes,76561198061423730,38
w0nderful,2024,1.12,1.13,72.9,74.8,63,55,39,28,42,70,71,40,89,51,yes,76561199063068840,62
Xant3r,2024,1.12,1.17,80.6,72.7,59,82,44,44,50,41,41,85,0,71,yes,76561198839305865,49
biguzera,2024,1.12,1.09,78.2,72.3,67,56,49,59,29,16,71,82,1,94,yes,76561198015308884,54
lux,2024,1.08,1.07,77.4,73.2,55,56,58,70,40,48,55,70,2,58,yes,76561198074017668,45
Kvem,2025,1.12,1.15,84.9,73.0,88,85,67,53,56,50,84,82,4,37,yes,76561198845436666,36
juanflatroo,2024,1.01,1.09,80.1,71.5,67,82,70,73,75,60,55,63,0,37,yes,76561198095793955,36
Snax,2025,0.87,0.9,63.2,71.1,8,10,34,66,35,27,17,52,3,83,yes,76561197982141573,39
cadiaN,2024,1.01,0.86,65.2,72.8,40,7,56,40,32,35,70,32,86,92,yes,76561198004115516,67
exit,2025,0.93,1.01,67.1,72.7,23,33,49,42,65,78,19,20,0,66,yes,76561198010496342,66
dgt,2025,0.98,1.07,73.5,71.3,46,57,13,12,53,50,60,55,0,26,yes,76561198216891576,56
nqz,2025,1.12,1.04,72.2,72.8,67,39,23,9,43,62,75,27,92,62,yes,76561198350342505,75
JT,2025,1.07,0.98,73.9,71.8,59,29,84,47,45,36,58,56,0,86,yes,76561198021715100,43
AZUWU,2025,1.04,0.99,75.1,71.8,68,37,81,67,77,54,66,57,0,40,yes,76561198974494129,40
nota,2025,1.0,1.11,74.2,74.6,51,64,82,79,78,72,54,70,0,53,yes,76561198975070027,49
Spinx,2025,1.08,1.14,78.3,74.3,70,71,58,52,53,79,52,42,0,34,yes,76561198063336407,44
isak,2024,0.99,0.95,71.6,70.8,49,22,40,47,41,49,42,31,0,39,yes,76561198071910365,46
C4LLM3SU3,2025,0.96,1.04,70.0,72.1,23,49,58,59,55,61,17,29,1,37,yes,76561198416388144,72
ICY,2025,0.99,1.03,64.0,72.7,33,31,41,31,54,86,54,28,91,56,yes,76561198055109028,87
FL1T,2024,1.02,1.04,78.0,73.1,59,55,33,28,50,32,67,74,0,67,yes,76561197995817501,47
Krimbo,2025,1.09,1.0,71.7,73.3,52,30,31,20,48,43,32,27,2,59,yes,76561198170631091,74
Grim,2025,1.08,1.16,82.5,74.4,78,88,63,78,62,65,61,65,0,41,yes,76561198191236195,42
hallzerk,2024,1.1,1.0,70.7,71.8,65,29,45,32,61,70,79,30,87,62,yes,76561198060367310,77
sense,2024,0.86,0.96,67.7,69.4,15,32,57,44,57,35,26,49,0,33,yes,76561198192927541,43
Jee,2025,1.12,1.05,73.3,74.0,80,50,26,35,65,82,60,26,91,68,yes,76561198360407641,74
molodoy,2025,1.16,1.19,77.8,73.6,87,75,24,12,23,42,88,62,95,54,yes,76561198200982290,76
alex,2024,0.94,0.98,68.0,71.4,17,35,52,75,46,73,14,41,0,65,yes,76561198000984547,48
Aleksib,2025,0.93,0.92,61.6,72.2,8,8,59,80,47,41,25,36,0,88,yes,76561198013243326,41
yuurih,2024,1.07,1.11,78.7,74.2,59,63,26,23,44,65,47,40,0,78,yes,76561198164970560,53
coldzera,2024,1.11,1.09,76.3,73.4,69,56,45,28,48,44,51,38,9,53,yes,76561198039986599,61
-Lack1,2024,0.95,0.98,72.2,69.3,42,43,52,55,37,28,59,68,1,48,yes,76561198146202997,41
Skullz,2025,0.96,1.02,68.5,74.0,23,38,54,47,47,75,37,21,0,53,yes,76561198118646644,53
Lucaozy,2025,0.99,1.01,73.7,71.5,52,48,66,48,46,56,50,64,1,39,yes,76561198157388473,42
alex666,2025,0.97,1.08,72.6,72.8,33,57,61,58,50,64,35,34,1,62,yes,76561198304115519,64
k1to,2024,0.9,0.83,66.1,67.6,26,8,55,74,39,24,32,64,0,76,yes,76561198182462587,29
controlez,2025,1.04,1.07,77.3,70.1,74,61,17,31,31,43,78,50,25,61,yes,76561198362438171,52
ChildKing,2024,1.0,1.08,76.9,71.4,55,71,50,42,36,42,53,80,3,68,yes,76561198352656104,49
ultimate,2025,1.04,1.0,69.5,71.5,63,27,58,42,39,59,77,33,88,49,yes,76561198283989223,52
KENSI1337,2024,1.04,1.02,78.5,72.7,65,65,60,37,46,45,73,58,0,50,yes,76561198400646282,38
Mzinho,2025,1.06,1.03,72.8,71.8,56,43,45,61,33,36,42,37,1,57,yes,76561198838822582,59
westmelon,2024,0.97,1.05,74.8,71.5,44,58,80,86,59,54,57,69,0,72,yes,76561198107240040,33
m0NESY,2024,1.29,1.29,82.7,76.7,93,91,35,36,61,75,87,62,92,57,yes,76561198074762801,83
torzsi,2025,1.11,1.02,70.1,75.0,72,32,13,33,40,79,78,19,92,58,yes,76561198355739212,65
ropz,2024,1.12,1.11,75.9,74.3,70,67,17,11,38,61,69,33,3,26,yes,76561197991272318,64
xKacpersky,2025,1.15,1.15,85.2,72.4,91,82,56,50,38,23,75,84,0,34,yes,76561198362964332,35
phzy,2024,1.14,1.19,79.0,73.7,79,87,30,28,50,57,77,64,92,59,yes,76561198408199043,84
exit,2024,1.08,1.08,73.9,76.2,46,58,50,41,52,68,34,44,0,73,yes,76561198010496342,62
aliStair,2024,1.06,1.08,67.0,74.3,44,36,39,42,24,34,65,43,92,65,yes,76561198098346710,65
chelo,2024,0.94,0.98,68.6,70.4,23,39,61,80,28,23,41,83,3,46,yes,76561198067763828,29
makazze,2025,1.12,1.14,82.5,73.8,86,76,53,79,58,32,81,85,0,52,yes,76561199076189612,34
dav1deuS,2025,1.05,0.98,74.5,70.6,66,43,62,42,56,57,38,51,1,32,yes,76561198120491311,43
huNter-,2024,1.01,1.01,71.3,72.7,48,35,62,63,63,67,33,33,0,75,yes,76561198012872053,42
Shr,2025,1.06,0.91,74.0,67.5,76,27,32,40,40,26,41,46,2,32,yes,76561198026724513,21
VINI,2024,1.05,0.98,70.0,72.8,27,28,52,58,24,44,30,45,1,81,yes,76561197996370184,42
slaxz-,2025,1.23,1.14,75.9,76.3,83,62,39,18,53,54,90,49,93,74,yes,76561198064353169,72
sl3nd,2025,0.97,1.03,69.7,73.4,40,28,41,47,36,67,61,26,86,76,yes,76561198098071693,61
ultimate,2024,1.04,1.12,75.2,71.8,69,70,28,28,35,57,86,62,91,40,yes,76561198283989223,60
Sonic,2025,1.0,1.03,76.8,69.5,63,39,29,47,59,66,67,48,1,76,yes,76561197975129851,34
mezii,2025,1.08,1.08,69.8,75.5,45,41,58,82,52,91,32,34,0,54,yes,76561197973140692,61
apEX,2024,0.96,0.9,69.0,71.2,34,13,48,60,32,28,43,38,0,94,yes,76561197989744167,35
jcobbb,2025,1.05,1.12,78.1,72.5,66,67,73,72,66,71,73,69,0,25,yes,76561198178737429,30
hyped,2025,0.99,0.96,67.5,70.0,57,36,38,36,47,69,79,36,94,51,yes,76561198139604328,56
Calyx,2024,1.03,1.02,69.5,72.4,38,35,36,22,28,66,23,32,0,46,yes,76561198052546265,60
REZ,2024,1.11,1.02,77.9,71.2,79,52,59,44,55,42,58,60,0,60,yes,76561198034172415,49
Grim,2024,1.03,1.02,73.8,72.5,48,52,70,78,71,47,35,30,0,50,yes,76561198191236195,41
JACKZ,2024,1.07,1.04,74.6,71.8,53,59,29,61,42,51,36,49,4,36,yes,76561197972242917,48
noway,2024,1.07,1.04,74.1,73.6,57,47,68,72,46,48,55,58,0,47,yes,76561198800209567,32
n0rb3r7,2024,1.0,0.99,68.6,71.1,29,32,49,76,31,29,33,51,0,60,yes,76561198222442504,43
jabbi,2024,1.07,1.1,73.0,72.3,63,58,72,47,51,34,54,60,0,61,yes,76561198120557348,54
Jimpphat,2024,1.2,1.14,76.5,76.7,66,71,40,44,68,73,28,25,0,42,yes,76561198855375325,78
nitr0,2025,1.06,1.03,70.7,74.4,43,32,53,84,54,60,27,33,0,81,yes,76561197995889730,58
maxster,2024,1.06,1.11,76.0,73.8,59,70,69,44,62,52,39,46,0,40,yes,76561199132217533,57
MAJ3R,2025,0.91,0.85,61.2,69.6,9,4,42,47,30,32,20,23,1,88,yes,76561197967432889,60
kensizor,2025,1.02,1.03,76.7,71.5,65,56,87,94,54,42,75,84,0,27,yes,76561198382173659,33
HooXi,2025,0.94,0.92,66.0,69.1,28,13,38,86,23,36,37,41,2,85,yes,76561197998926770,43
regali,2025,1.12,1.09,73.5,73.3,76,67,31,21,70,81,54,23,91,57,yes,76561198098463229,73
YEKINDAR,2024,1.0,0.98,72.8,70.9,49,36,38,54,27,17,83,81,0,57,yes,76561198134401925,31
Jee,2024,1.13,1.1,71.6,76.9,65,49,68,51,70,88,68,25,91,60,yes,76561198360407641,41
Aleksib,2024,0.91,0.93,62.1,72.2,6,9,39,69,34,35,24,37,0,91,yes,76561198013243326,44
fEAR,2025,0.9,0.88,64.6,71.6,21,8,80,73,38,50,38,23,0,75,yes,76561198132026180,31
Patti,2024,1.0,0.93,71.6,71.8,44,25,68,88,70,71,37,67,0,74,yes,76561198019990506,42
STYKO,2024,1.05,0.92,71.0,70.6,45,25,47,40,20,18,29,24,1,66,yes,76561198016194159,46
EmiliaQAQ,2024,1.05,1.08,75.1,72.0,58,61,72,72,69,37,45,78,0,54,yes,76561198816731401,48
device,2025,1.09,1.05,76.0,72.0,74,53,25,14,31,50,83,41,91,62,yes,76561197987713664,60
Liazz,2025,1.02,1.07,70.3,73.6,24,46,57,48,56,69,29,29,0,69,yes,76561198072321716,67
mezii,2024,1.05,1.02,68.0,74.9,34,24,40,89,53,69,23,33,0,42,yes,76561197973140692,54
broky,2024,1.11,1.06,73.1,75.7,70,54,39,59,57,82,49,28,87,63,yes,76561198201620490,73
s1n,2024,1.07,1.07,75.2,75.0,50,56,49,53,76,74,31,30,0,94,yes,76561198190463461,52
Skullz,2024,1.0,1.0,68.9,72.8,41,33,43,30,59,55,43,33,0,46,yes,76561198118646644,44
INS,2024,1.27,1.2,87.6,75.5,91,90,56,45,51,33,62,71,1,93,yes,76561197987212623,51
Kursy,2025,1.03,1.11,74.2,72.1,69,77,25,20,65,75,81,42,86,49,yes,76561198350606449,79
REZ,2025,1.09,1.13,78.4,73.4,75,63,51,69,59,66,67,73,0,64,yes,76561198034172415,40
sinnopsyy,2024,0.98,1.02,76.3,69.5,46,54,62,31,40,23,60,69,0,88,yes,76561198165327895,54
woxic,2025,1.09,1.04,71.0,73.6,60,46,30,13,57,74,73,28,93,53,yes,76561198083485506,78
khaN,2024,1.02,1.07,68.7,72.5,53,52,45,27,68,61,45,44,92,61,yes,76561198951467648,75
iM,2024,1.05,1.08,79.3,70.5,78,61,48,33,43,31,71,75,0,52,yes,76561198050250233,39
910,2025,1.05,1.04,72.0,71.3,69,44,23,19,34,50,79,50,92,50,yes,76561199203563345,64
HexT,2025,1.18,1.13,73.9,74.8,61,64,62,73,52,55,27,54,0,54,yes,76561198210934463,58
Mzinho,2024,1.05,1.08,73.2,72.2,50,53,47,64,32,40,35,43,0,52,yes,76561198838822582,42
F1KU,2024,1.02,1.02,71.7,71.0,36,44,67,40,61,63,29,35,0,57,yes,76561198252434500,54
kaze,2024,1.12,1.06,68.8,75.0,60,34,30,23,61,68,46,22,91,67,yes,76561197976393269,92
roman,2024,0.97,0.96,69.5,70.9,38,24,39,42,63,39,44,34,0,67,yes,76561197994395491,44
nettik,2025,1.09,1.06,78.6,71.6,74,53,61,62,77,65,71,73,2,75,yes,76561198332845251,48
snow,2024,1.1,1.05,73.1,74.5,55,44,33,53,56,61,42,48,0,37,yes,76561198377335846,63
chelo,2025,0.96,0.99,70.2,69.9,40,35,72,76,41,30,59,73,0,55,yes,76561198067763828,44
Twistzz,2025,1.2,1.13,80.1,75.3,87,62,75,67,86,76,50,38,0,70,yes,76561198016255205,57
